timelocal,month,month_indicator,month_weekday,flow,rotation,effect_pump_10,vibr_bear_as_x,vibr_bear_as_y,vibr_bear_bs_x,vibr_bear_bs_y,vibr_motor_x,vibr_motor_y,temp_winding_max
2020-10-29T01:17:02Z,Oct,5,2020-10-28T23:00:00Z,13139.407411848959,250.98535265808104,424.1758152242025,1.0469435359491241,0.9937524307952987,0.5339681891957919,0.5061182739959823,0.18105319682823287,0.2040460313104921,63.21998596191406
2020-10-29T01:18:32Z,Oct,5,2020-10-28T23:00:00Z,13254.775828493923,253.83504472283258,434.57894654337565,1.0583986907256975,0.9962648920734724,0.5381535844173696,0.5052349801593357,0.18045194796489344,0.20801078258421685,63.21998596191406
2020-10-29T01:20:02Z,Oct,5,2020-10-28T23:00:00Z,13381.813696831598,255.66925397169325,447.11419031507705,1.0417051122970051,1.0514308346231778,0.5322563354459073,0.5245626043928994,0.180458591113819,0.2169736802342865,63.234407138824466
2020-10-29T01:21:32Z,Oct,5,2020-10-28T23:00:00Z,13455.62555374349,257.70397286783856,457.25361738891604,1.1181705765366554,1.0450196404298147,0.5687495572090149,0.5265608675996463,0.18946837391489083,0.2231324377556642,63.29998016357422
2020-10-29T01:23:02Z,Oct,5,2020-10-28T23:00:00Z,13596.598765180122,261.07208700629343,471.7424133470323,1.151284890519248,1.0704480317499903,0.5864520741820335,0.5412493087953991,0.20002408420344195,0.22751330245501467,63.29998016357422
2020-10-29T01:24:32Z,Oct,5,2020-10-28T23:00:00Z,13660.159766493056,262.74297070855033,480.5430667073568,1.1441771736145019,1.0700534956389003,0.583200885687934,0.5448326093912125,0.1999525679035319,0.23549518635835912,63.31659477556017
2020-10-29T01:26:02Z,Oct,5,2020-10-28T23:00:00Z,13711.13745703125,263.2708248155382,488.0295205796983,1.1614887833648257,1.1263783623682129,0.5949369972427686,0.5651275881535477,0.2033893247028192,0.24147667598360115,64.0112964284261
2020-10-29T01:27:32Z,Oct,5,2020-10-28T23:00:00Z,13632.800565169271,262.51263742133244,479.8234617784288,1.139381342763371,1.105464477230443,0.5806415418909656,0.5534910395118925,0.19954499922692776,0.2370166937390963,64.24201106567382
2020-10-29T01:29:02Z,Oct,5,2020-10-28T23:00:00Z,13517.403920203993,259.993777202691,467.68974645114474,1.0969145043532054,1.0552534871737163,0.5579911908401384,0.5317917939788765,0.19656528113219474,0.22876894590589736,64.39997863769531
2020-10-29T01:30:32Z,Oct,5,2020-10-28T23:00:00Z,13357.403906922744,256.46132091844345,449.06180844251844,1.1149807300964991,1.0405827882051468,0.5696349547783534,0.5270379542138841,0.18899688444270027,0.2227372336725394,64.39997863769531
2020-10-29T01:32:02Z,Oct,5,2020-10-28T23:00:00Z,13174.793455425348,252.89069976976182,430.142096424018,1.088935303329097,1.0318745253006618,0.5548160481267506,0.5215402709563574,0.18893464172614946,0.21166339162190756,64.39877726999919
2020-10-29T01:42:32Z,Oct,5,2020-10-28T23:00:00Z,13043.669408517795,250.25201647576228,421.36173440009225,1.0622872118923399,0.9805907809813817,0.5346442861206002,0.49854110175503624,0.180347458579474,0.20218659590317142,65.27998352050781
2020-10-29T01:44:02Z,Oct,5,2020-10-28T23:00:00Z,13082.8305898329,250.82965087890625,422.9789377020942,1.063209292713801,0.9977025736252467,0.5487057443241279,0.5114529364486535,0.18138561919099755,0.2073519491000308,65.27998352050781
